month,BRW_monthly (updated),date_fomc,BRW_fomc (updated),,Month,BRW_monthly,date_fomc,BRW_fomc,,0,0.0422961,0.0422961,1994,,,,
2015m1,0.0243021,,,,2015m1,0.0246548,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m2,0,,,,2015m2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m3,-0.036584,,,,2015m3,-0.0368608,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m4,-0.040165,,,,2015m4,-0.0406688,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m5,0,,,,2015m5,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m6,-0.0734485,,,,2015m6,-0.0741741,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m7,-0.0049794,,,,2015m7,-0.0050533,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m8,0,,,,2015m8,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m9,-0.044471,,,,2015m9,-0.0448942,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m10,0.0632791,,,,2015m10,0.0638851,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m11,0,,,,2015m11,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2015m12,0.0205194,,,,2015m12,0.0207099,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m1,-0.0158667,,,,2016m1,-0.0160307,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m2,0,,,,2016m2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m3,-0.0743356,,,,2016m3,-0.0751125,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m4,0.0023269,,,,2016m4,0.0024692,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m5,0,,,,2016m5,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m6,-0.0325347,,,,2016m6,-0.0328813,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m7,0.010923,,,,2016m7,0.0110611,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m8,0,,,,2016m8,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m9,0.0242009,,,,2016m9,0.0244924,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m10,0,,,,2016m10,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m11,-0.0136485,,,,2016m11,-0.0137453,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2016m12,0.0796401,,,,2016m12,0.0804451,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m1,0,,,,2017m1,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m2,0.001817,,,,2017m2,0.0017887,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m3,-0.0228038,,,,2017m3,-0.022927,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m4,0,,,,2017m4,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m5,0.0348748,,,,2017m5,0.0352312,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m6,0.0349611,,,,2017m6,0.0353999,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m7,-0.0287343,,,,2017m7,-0.0289927,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m8,0,,,,2017m8,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m9,0.0321512,,,,2017m9,0.0324622,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m10,0,,,,2017m10,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m11,0.0271779,,,,2017m11,0.0274867,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2017m12,-0.010656,,,,2017m12,-0.0107439,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m1,0.0430283,,,,2018m1,0.043489,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m2,0,,,,2018m2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m3,-0.0115837,,,,2018m3,-0.0117666,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m4,0,,,,2018m4,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m5,-0.0210374,,,,2018m5,-0.0212566,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m6,0.0130099,,,,2018m6,0.0131472,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m7,0,,,,2018m7,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m8,-0.0146746,,,,2018m8,-0.0148822,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m9,0.0064654,,,,2018m9,0.0065724,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m10,0,,,,2018m10,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m11,0.0215585,,,,2018m11,0.0217711,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018m12,0.0365571,,,,2018m12,0.0369818,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m1,-0.0540896,,,,2019m1,-0.0546792,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m2,0,,,,2019m2,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m3,-0.0226554,,,,2019m3,-0.0228529,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m4,0,,,,2019m4,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m5,0.0406881,,,,2019m5,0.0411347,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m6,-0.0511383,,,,2019m6,-0.0517478,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m7,0.0572017,,,,2019m7,0.0578817,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m8,0,,,,2019m8,0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m9,0.0373536,,,,2019m9,0.0377678,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m10,0.02513,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m11,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2019m12,-0.003236,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m1,0.0027958,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m2,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m3,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m4,-0.0394143,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m5,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m6,0.002327,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m7,-0.0299658,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m8,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m9,-0.0131933,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m10,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m11,0.0158562,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2020m12,-0.0069948,,,,,,,,,,,,,,,,
