"","V1","V2","V3"
"1",1998,-13.0643922618742,1
"2",1998,-13.0643922618742,1
"3",1998,-13.0643922618742,1
"4",1998,-13.0643922618742,1
"5",1998,-12.8235790273373,1
"6",1998,-12.4655441384282,1
"7",1998,-12.4655441384282,1
"8",1998,-12.4655441384282,1
"9",1998,-11.9372248833515,1
"10",1998,-11.9372248833515,1
"11",1998,-11.9372248833515,1
"12",1998,-11.9372248833515,1
"13",1998,-11.8861290946013,1
"14",1998,-11.8404175906943,1
"15",1998,-11.8404175906943,1
"16",1998,-11.8404175906943,1
"17",1998,-11.8404175906943,1
"18",1998,-11.8404175906943,1
"19",1998,-11.7949571755085,1
"20",1998,-11.754326627175,1
"21",1998,-11.6710507179373,1
"22",1998,-11.6710507179373,1
"23",1998,-11.5775492729734,1
"24",1998,-11.5775492729734,1
"25",1998,-11.5177013347288,1
"26",1998,-11.5177013347288,1
"27",1998,-11.4684282451098,1
"28",1998,-11.4164212632949,1
"29",1998,-11.4164212632949,1
"30",1998,-11.4164212632949,1
"31",1998,-11.2229404450231,1
"32",1998,-11.2229404450231,1
"33",1998,-11.2229404450231,1
"34",1998,-11.2229404450231,1
"35",1998,-11.0257945412681,1
"36",1998,-11.0257945412681,1
"37",1998,-11.0257945412681,1
"38",1998,-11.0257945412681,1
"39",1998,-11.0257945412681,1
"40",1998,-10.9731142834392,1
"41",1998,-10.9731142834392,1
"42",1998,-10.8529679472771,1
"43",1998,-10.8529679472771,1
"44",1998,-10.6123345365149,1
"45",1998,-10.6123345365149,1
"46",1998,-9.90590142481312,1
"47",1998,-9.38611573742975,1
"48",1998,-9.38611573742975,1
"49",1998,-9.05768682530081,1
"50",1998,-9.05768682530081,1
"51",1998,-9.02130543916746,1
"52",1998,-9.02130543916746,1
"53",1998,-8.86649320425062,1
"54",1998,-8.79152547295714,1
"55",1998,-8.79152547295714,1
"56",1998,-8.79152547295714,1
"57",1998,-8.65639233887263,1
"58",1998,-8.65639233887263,1
"59",1998,-8.65639233887263,1
"60",1998,-8.41106848435847,1
"61",1998,-8.41106848435847,1
"62",1998,-8.41106848435847,1
"63",1998,-8.23778101581418,1
"64",1998,-8.03913657838557,1
"65",1998,-8.03913657838557,1
"66",1998,-8.03913657838557,1
"67",1998,-8.00246610540277,1
"68",1998,-8.00246610540277,1
"69",1998,-8.00246610540277,1
"70",1998,-7.98822936673585,1
"71",1998,-7.96208279613658,1
"72",1998,-7.78410463855317,1
"73",1998,-7.63072488853371,1
"74",1998,-7.63072488853371,1
"75",1998,-7.63072488853371,1
"76",1998,-7.59170029685401,1
"77",1998,-7.59170029685401,1
"78",1998,-7.59170029685401,1
"79",1998,-7.5638135677436,1
"80",1998,-7.5638135677436,1
"81",1998,-7.53905859581344,1
"82",1998,-7.53905859581344,1
"83",1998,-7.53905859581344,1
"84",1998,-7.53905859581344,1
"85",1998,-7.46901459775232,1
"86",1998,-7.45124212904261,1
"87",1998,-7.45124212904261,1
"88",1998,-7.40437128884652,1
"89",1998,-7.36108027413343,1
"90",1998,-7.27681029117017,1
"91",1998,-7.27681029117017,1
"92",1998,-7.27681029117017,1
"93",1998,-7.25244469861823,1
"94",1998,-7.25244469861823,1
"95",1998,-7.0366025777947,1
